model,family,params_b,setting,task,prompt_tier,exact_match,n_examples
falcon_h1_05b,Falcon-H1,0.5,E2-Q8,nq_open,P0,0.5000,200
falcon_h1_05b,Falcon-H1,0.5,E2-Q8,nq_open,P1,0.0000,200
falcon_h1_15b_deep,Falcon-H1,1.5,E2-Q8,nq_open,P0,5.0000,200
falcon_h1_15b,Falcon-H1,1.5,E2-Q8,nq_open,P0,2.5000,200
falcon_h1_tiny_90m,Falcon-H1,0.09,E2-Q8,nq_open,P0,0.0000,200
falcon_h1_tiny_90m,Falcon-H1,0.09,E2-Q8,nq_open,P1,0.0000,200
falcon_h1_tiny_r_06b,Falcon-H1,0.6,E2-Q8,nq_open,P0,0.0000,200
falcon_h1_tiny_r_06b,Falcon-H1,0.6,E2-Q8,nq_open,P1,0.0000,200
gemma3_1b,Gemma,1.0,E2-Q8,nq_open,P0,3.0000,200
gemma3_1b,Gemma,1.0,E2-Q8,nq_open,P1,0.0000,200
internlm25_18b,InternLM,1.8,E2-Q8,nq_open,P0,0.5000,200
llama32_1b,Llama,1.0,E2-Q8,nq_open,P0,6.0000,200
llama32_1b,Llama,1.0,E2-Q8,nq_open,P1,0.5000,200
phi4_mini,Phi,3.8,E2-Q8,nq_open,P0,9.0000,200
qwen25_05b,Qwen,0.5,E2-Q8,nq_open,P0,2.0000,200
qwen25_05b,Qwen,0.5,E2-Q8,nq_open,P1,0.0000,200
qwen25_15b,Qwen,1.5,E2-Q8,nq_open,P0,2.0000,200
smollm2_17b,SmolLM,1.7,E2-Q8,nq_open,P0,0.5000,200
smollm2_360m,SmolLM,0.36,E2-Q8,nq_open,P0,0.5000,200
smollm2_360m,SmolLM,0.36,E2-Q8,nq_open,P1,0.0000,200
tinyllama_11b,TinyLlama,1.1,E2-Q8,nq_open,P0,0.0000,200
tinyllama_11b,TinyLlama,1.1,E2-Q8,nq_open,P1,0.0000,200
falcon_h1_05b,Falcon-H1,0.5,E2-Q8-CT,nq_open,P0,0.5000,200
falcon_h1_tiny_r_06b,Falcon-H1,0.6,E2-Q8-CT,nq_open,P0,0.0000,200
falcon_h1_tiny_90m,Falcon-H1,0.09,E2-Q8-CT,nq_open,P0,0.0000,200
qwen25_05b,Qwen,0.5,E2-Q8-CT,nq_open,P0,0.5000,200
smollm2_360m,SmolLM,0.36,E2-Q8-CT,nq_open,P0,0.0000,200
falcon_h1_15b,Falcon-H1,1.5,E2-Q8,nq_open,P1,0.0000,200
falcon_h1_15b_deep,Falcon-H1,1.5,E2-Q8,nq_open,P1,0.0000,200
falcon_h1_05b,Falcon-H1,0.5,E2-Q8-CT,nq_open,P1,0.0000,200
falcon_h1_15b_deep,Falcon-H1,1.5,E2-Q8-CT,nq_open,P0,4.5000,200
falcon_h1_15b,Falcon-H1,1.5,E2-Q8-CT,nq_open,P0,1.5000,200
falcon_h1_tiny_90m,Falcon-H1,0.09,E2-Q8-CT,nq_open,P1,0.0000,200
falcon_h1_tiny_r_06b,Falcon-H1,0.6,E2-Q8-CT,nq_open,P1,0.0000,200
phi4_mini,Phi,3.8,E2-Q8-CT,nq_open,P0,7.5000,200
qwen25_05b,Qwen,0.5,E2-Q8-CT,nq_open,P1,0.0000,200
qwen25_15b,Qwen,1.5,E2-Q8-CT,nq_open,P0,1.5000,200
llama32_1b,Llama,1.0,E2-Q8-CT,nq_open,P0,2.0000,200
llama32_1b,Llama,1.0,E2-Q8-CT,nq_open,P1,0.0000,200
smollm2_360m,SmolLM,0.36,E2-Q8-CT,nq_open,P1,0.0000,200
tinyllama_11b,TinyLlama,1.1,E2-Q8-CT,nq_open,P0,0.0000,200
tinyllama_11b,TinyLlama,1.1,E2-Q8-CT,nq_open,P1,0.0000,200
gemma3_1b,Gemma,1.0,E2-Q8-CT,nq_open,P0,1.5000,200
gemma3_1b,Gemma,1.0,E2-Q8-CT,nq_open,P1,0.0000,200
qwen25_15b,Qwen,1.5,E2-Q8,nq_open,P1,0.0000,200
smollm2_17b,SmolLM,1.7,E2-Q8,nq_open,P1,0.0000,200
falcon_h1_15b,Falcon-H1,1.5,E2-Q8-CT,nq_open,P1,0.0000,200
qwen25_15b,Qwen,1.5,E2-Q8-CT,nq_open,P1,0.0000,200
smollm2_17b,SmolLM,1.7,E2-Q8-CT,nq_open,P1,0.0000,200
internlm25_18b,InternLM,1.8,E2-Q8-CT,nq_open,P1,0.0000,200
falcon_h1_tiny_90m,Falcon-H1,0.09,E2-Q8,nq_open,P2,0.0000,200
falcon_h1_tiny_90m,Falcon-H1,0.09,E2-Q8-CT,nq_open,P2,0.0000,200
smollm2_360m,SmolLM,0.36,E2-Q8,nq_open,P2,0.0000,200
falcon_h1_05b,Falcon-H1,0.5,E2-Q8,nq_open,P2,0.0000,200
smollm2_360m,SmolLM,0.36,E2-Q8-CT,nq_open,P2,0.0000,200
qwen25_05b,Qwen,0.5,E2-Q8-CT,nq_open,P2,0.0000,200
falcon_h1_tiny_r_06b,Falcon-H1,0.6,E2-Q8-CT,nq_open,P2,0.0000,200
qwen25_05b,Qwen,0.5,E2-Q8,nq_open,P2,0.0000,200
falcon_h1_05b,Falcon-H1,0.5,E2-Q8-CT,nq_open,P2,0.0000,200
falcon_h1_tiny_r_06b,Falcon-H1,0.6,E2-Q8,nq_open,P2,0.0000,200
gemma3_1b,Gemma,1.0,E2-Q8-CT,nq_open,P2,0.0000,200
tinyllama_11b,TinyLlama,1.1,E2-Q8,nq_open,P2,0.0000,200
gemma3_1b,Gemma,1.0,E2-Q8,nq_open,P2,1.5000,200
falcon_h1_15b,Falcon-H1,1.5,E2-Q8,nq_open,P2,0.0000,200
llama32_1b,Llama,1.0,E2-Q8-CT,nq_open,P2,0.0000,200
tinyllama_11b,TinyLlama,1.1,E2-Q8-CT,nq_open,P2,0.0000,200
smollm2_17b,SmolLM,1.7,E2-Q8,nq_open,P2,0.0000,200
falcon_h1_tiny_90m,Falcon-H1,0.09,E2-Q8,nq_open,P3,0.0000,200
smollm2_17b,SmolLM,1.7,E2-Q8-CT,nq_open,P2,0.0000,200
smollm2_360m,SmolLM,0.36,E2-Q8,nq_open,P3,0.0000,200
falcon_h1_05b,Falcon-H1,0.5,E2-Q8,nq_open,P3,0.0000,200
internlm25_18b,InternLM,1.8,E2-Q8-CT,nq_open,P2,0.0000,200
qwen25_05b,Qwen,0.5,E2-Q8,nq_open,P3,0.0000,200
falcon_h1_tiny_r_06b,Falcon-H1,0.6,E2-Q8,nq_open,P3,0.0000,200
gemma3_1b,Gemma,1.0,E2-Q8,nq_open,P3,0.5000,200
llama32_1b,Llama,1.0,E2-Q8,nq_open,P3,0.0000,200
falcon_h1_tiny_90m,Falcon-H1,0.09,E2-Q8-CT,nq_open,P3,0.0000,200
tinyllama_11b,TinyLlama,1.1,E2-Q8,nq_open,P3,0.0000,200
falcon_h1_05b,Falcon-H1,0.5,E2-Q8-CT,nq_open,P3,0.0000,200
smollm2_360m,SmolLM,0.36,E2-Q8-CT,nq_open,P3,0.0000,200
falcon_h1_15b,Falcon-H1,1.5,E2-Q8,nq_open,P3,0.0000,200
falcon_h1_tiny_r_06b,Falcon-H1,0.6,E2-Q8-CT,nq_open,P3,0.0000,200
qwen25_05b,Qwen,0.5,E2-Q8-CT,nq_open,P3,0.0000,200
llama32_1b,Llama,1.0,E2-Q8-CT,nq_open,P3,0.0000,200
falcon_h1_15b_deep,Falcon-H1,1.5,E2-Q8,nq_open,P3,0.0000,200
qwen25_15b,Qwen,1.5,E2-Q8,nq_open,P3,0.0000,200
gemma3_1b,Gemma,1.0,E2-Q8-CT,nq_open,P3,0.0000,200
smollm2_17b,SmolLM,1.7,E2-Q8,nq_open,P3,0.0000,200
internlm25_18b,InternLM,1.8,E2-Q8,nq_open,P3,0.0000,200
falcon_h1_15b,Falcon-H1,1.5,E2-Q8-CT,nq_open,P3,0.0000,200
tinyllama_11b,TinyLlama,1.1,E2-Q8-CT,nq_open,P3,0.0000,200
llama32_3b,Llama,3.0,E2-Q8,nq_open,P3,0.0000,200
smollm2_17b,SmolLM,1.7,E2-Q8-CT,nq_open,P3,0.0000,200
llama32_3b,Llama,3.0,E2-Q8-CT,nq_open,P3,0.0000,200
internlm25_18b,InternLM,1.8,E2-Q8-CT,nq_open,P3,0.0000,200
qwen25_15b,Qwen,1.5,E2-Q8-CT,nq_open,P3,0.0000,200
falcon_h1_15b_deep,Falcon-H1,1.5,E2-Q8-CT,nq_open,P3,0.0000,200
phi35_mini,Phi,3.8,E2-Q8-CT,nq_open,P3,0.0000,200
phi4_mini,Phi,3.8,E2-Q8-CT,nq_open,P3,0.0000,200
phi35_mini,Phi,3.8,E2-Q8-CT,nq_open,P0,3.5000,200
smollm2_17b,SmolLM,1.7,E2-Q8-CT,nq_open,P0,0.0000,200
internlm25_18b,InternLM,1.8,E2-Q8-CT,nq_open,P0,0.0000,200
llama32_3b,Llama,3.0,E2-Q8-CT,nq_open,P0,0.5000,200
internlm25_18b,InternLM,1.8,E2-Q8,nq_open,P1,0.0000,200
llama32_3b,Llama,3.0,E2-Q8,nq_open,P0,9.0000,200
llama32_3b,Llama,3.0,E2-Q8,nq_open,P1,0.0000,200
phi35_mini,Phi,3.8,E2-Q8,nq_open,P0,12.0000,200
smollm2_17b,SmolLM,1.7,E2-Q8-CT,nq_open,P0,0.0000,200
internlm25_18b,InternLM,1.8,E2-Q8-CT,nq_open,P0,0.0000,200
phi35_mini,Phi,3.8,E2-Q8-CT,nq_open,P0,5.0000,200
llama32_3b,Llama,3.0,E2-Q8-CT,nq_open,P0,0.0000,200
falcon_h1_15b_deep,Falcon-H1,1.5,E2-Q8-CT,nq_open,P1,0.0000,200
falcon_h1_15b_deep,Falcon-H1,1.5,E2-Q8-CT,nq_open,P1,0.0000,200
llama32_3b,Llama,3.0,E2-Q8-CT,nq_open,P1,0.0000,200
phi35_mini,Phi,3.8,E2-Q8-CT,nq_open,P1,0.0000,200
phi4_mini,Phi,3.8,E2-Q8-CT,nq_open,P1,0.0000,200
llama32_3b,Llama,3.0,E2-Q8-CT,nq_open,P1,0.0000,200
phi35_mini,Phi,3.8,E2-Q8-CT,nq_open,P1,0.0000,200
falcon_h1_15b,Falcon-H1,1.5,E2-Q8-CT,nq_open,P2,0.0000,200
phi4_mini,Phi,3.8,E2-Q8-CT,nq_open,P1,0.0000,200
phi35_mini,Phi,3.8,E2-Q8,nq_open,P1,0.0000,200
falcon_h1_15b,Falcon-H1,1.5,E2-Q8-CT,nq_open,P2,0.0000,200
llama32_3b,Llama,3.0,E2-Q8-CT,nq_open,P2,0.0000,200
falcon_h1_15b_deep,Falcon-H1,1.5,E2-Q8-CT,nq_open,P2,0.0000,200
phi4_mini,Phi,3.8,E2-Q8,nq_open,P1,0.0000,200
phi35_mini,Phi,3.8,E2-Q8-CT,nq_open,P2,0.0000,200
qwen25_15b,Qwen,1.5,E2-Q8-CT,nq_open,P2,0.0000,200
falcon_h1_15b_deep,Falcon-H1,1.5,E2-Q8-CT,nq_open,P2,0.0000,200
phi4_mini,Phi,3.8,E2-Q8-CT,nq_open,P2,0.0000,200
llama32_1b,Llama,1.0,E2-Q8,nq_open,P2,2.0000,200
falcon_h1_15b_deep,Falcon-H1,1.5,E2-Q8,nq_open,P2,0.5000,200
qwen25_15b,Qwen,1.5,E2-Q8,nq_open,P2,0.5000,200
internlm25_18b,InternLM,1.8,E2-Q8,nq_open,P2,0.5000,200
qwen25_15b,Qwen,1.5,E2-Q8-CT,nq_open,P2,0.0000,200
llama32_3b,Llama,3.0,E2-Q8,nq_open,P2,4.5000,200
phi35_mini,Phi,3.8,E2-Q8,nq_open,P2,1.0000,200
llama32_3b,Llama,3.0,E2-Q8-CT,nq_open,P2,0.0000,200
phi35_mini,Phi,3.8,E2-Q8-CT,nq_open,P2,0.0000,200
phi4_mini,Phi,3.8,E2-Q8,nq_open,P2,0.0000,200
phi4_mini,Phi,3.8,E2-Q8-CT,nq_open,P2,0.0000,200
falcon_h1_tiny_90m,Falcon-H1,0.09,E0-raw,nq_open,P0,1.0000,200
falcon_h1_tiny_r_06b,Falcon-H1,0.6,E0-raw,nq_open,P0,2.0000,200
qwen25_05b,Qwen,0.5,E0-raw,nq_open,P0,1.0000,200
smollm2_360m,SmolLM,0.36,E0-raw,nq_open,P0,1.0000,200
falcon_h1_05b,Falcon-H1,0.5,E0-raw,nq_open,P0,0.5000,200
llama32_1b,Llama,1.0,E0-raw,nq_open,P0,10.0000,200
tinyllama_11b,TinyLlama,1.1,E0-raw,nq_open,P0,1.5000,200
gemma3_1b,Gemma,1.0,E0-raw,nq_open,P0,3.0000,200
falcon_h1_15b,Falcon-H1,1.5,E0-raw,nq_open,P0,3.0000,200
falcon_h1_15b_deep,Falcon-H1,1.5,E0-raw,nq_open,P0,5.0000,200
qwen25_15b,Qwen,1.5,E0-raw,nq_open,P0,5.5000,200
smollm2_17b,SmolLM,1.7,E0-raw,nq_open,P0,2.0000,200
phi35_mini,Phi,3.8,E0-raw,nq_open,P0,12.0000,200
phi4_mini,Phi,3.8,E0-raw,nq_open,P0,13.0000,200
falcon_h1_tiny_90m,Falcon-H1,0.09,E0-raw,nq_open,P1,0.0000,200
smollm2_360m,SmolLM,0.36,E0-raw,nq_open,P1,0.0000,200
falcon_h1_05b,Falcon-H1,0.5,E0-raw,nq_open,P1,0.0000,200
qwen25_05b,Qwen,0.5,E0-raw,nq_open,P1,0.0000,200
falcon_h1_tiny_r_06b,Falcon-H1,0.6,E0-raw,nq_open,P1,0.0000,200
gemma3_1b,Gemma,1.0,E0-raw,nq_open,P1,0.0000,200
llama32_1b,Llama,1.0,E0-raw,nq_open,P1,0.0000,200
falcon_h1_15b,Falcon-H1,1.5,E0-raw,nq_open,P1,0.0000,200
tinyllama_11b,TinyLlama,1.1,E0-raw,nq_open,P1,0.0000,200
qwen25_15b,Qwen,1.5,E0-raw,nq_open,P1,0.0000,200
falcon_h1_15b_deep,Falcon-H1,1.5,E0-raw,nq_open,P1,0.0000,200
smollm2_17b,SmolLM,1.7,E0-raw,nq_open,P1,0.0000,200
falcon_e_1b,falcon,,E0-raw,nq_open,P1,0.0000,200
phi4_mini,Phi,3.8,E0-raw,nq_open,P1,0.0000,200
falcon_h1_tiny_90m,Falcon-H1,0.09,E0-raw,nq_open,P2,0.0000,200
smollm2_360m,SmolLM,0.36,E0-raw,nq_open,P2,0.0000,200
falcon_h1_05b,Falcon-H1,0.5,E0-raw,nq_open,P2,0.5000,200
qwen25_05b,Qwen,0.5,E0-raw,nq_open,P2,0.0000,200
falcon_h1_tiny_r_06b,Falcon-H1,0.6,E0-raw,nq_open,P2,0.0000,200
gemma3_1b,Gemma,1.0,E0-raw,nq_open,P2,1.0000,200
llama32_1b,Llama,1.0,E0-raw,nq_open,P2,7.5000,200
tinyllama_11b,TinyLlama,1.1,E0-raw,nq_open,P2,0.0000,200
falcon_h1_15b,Falcon-H1,1.5,E0-raw,nq_open,P2,0.0000,200
falcon_h1_15b_deep,Falcon-H1,1.5,E0-raw,nq_open,P2,0.0000,200
qwen25_15b,Qwen,1.5,E0-raw,nq_open,P2,0.0000,200
smollm2_17b,SmolLM,1.7,E0-raw,nq_open,P2,0.0000,200
falcon_e_1b,falcon,,E0-raw,nq_open,P2,0.0000,200
falcon_e_3b,falcon,,E0-raw,nq_open,P2,1.5000,200
falcon_h1_tiny_90m,Falcon-H1,0.09,E0-raw,nq_open,P3,0.0000,200
smollm2_360m,SmolLM,0.36,E0-raw,nq_open,P3,0.0000,200
falcon_h1_05b,Falcon-H1,0.5,E0-raw,nq_open,P3,0.0000,200
qwen25_05b,Qwen,0.5,E0-raw,nq_open,P3,0.0000,200
falcon_h1_tiny_r_06b,Falcon-H1,0.6,E0-raw,nq_open,P3,0.0000,200
gemma3_1b,Gemma,1.0,E0-raw,nq_open,P3,0.0000,200
llama32_1b,Llama,1.0,E0-raw,nq_open,P3,0.0000,200
tinyllama_11b,TinyLlama,1.1,E0-raw,nq_open,P3,0.0000,200
falcon_h1_15b_deep,Falcon-H1,1.5,E0-raw,nq_open,P3,0.0000,200
qwen25_15b,Qwen,1.5,E0-raw,nq_open,P3,0.0000,200
smollm2_17b,SmolLM,1.7,E0-raw,nq_open,P3,0.0000,200
falcon_e_1b,falcon,,E0-raw,nq_open,P3,0.5000,200
falcon_e_3b,falcon,,E0-raw,nq_open,P3,0.0000,200
llama32_3b,Llama,3.0,E0-raw,nq_open,P3,0.0000,200
falcon_h1_15b,Falcon-H1,1.5,E0-raw,nq_open,P3,0.0000,200
phi35_mini,Phi,3.8,E2-Q8,nq_open,P3,0.0000,200
phi4_mini,Phi,3.8,E2-Q8,nq_open,P3,0.0000,200
